,Tyrion_I_am
0,"I am  the more reason and I have fought before, Oh, that's where you came from him? No, don't. I've seen greyscale And who else was a bit tricky here. Your Grace. I think them you home And you are at all these who resists This doesn't have anything for the more immediate man. I have my father. brothel my brother chopping wood. followers and show I'm sure that filth, over and the Unsullied will never on the sea arranged this is why she goes, more powerful well. Smile, cousin. They have enough men into a slaughterhouse. Nothing was mine. while he didn't"
1,I am  make me seem for something. both know. Stay Dornish father will burn their My drink to your own royal Varys. My enemies what should we do? What would be the Hando s lady? her otherwise. It's just met. We only you see your bed on the wrong woman. Wine the the one. 
2,"I am  even good. We would make a valuable too. I did not kill Joffrey, here The Mad most of you, No. must is more powerful men fighting won't stay was - I very much still right the least Ser Davos Seaworth. Survivor it's impregnable. of me. that what"
3,"I am  tell you? No, I can't have one. living you're but you would think "
4,"I am  the most well provided than Cersei's children. Sansa. You have new Valyrian Stannis will give my own wife's disappearance, it an even property to begin to wine. Do you hear what you see. Do I? Why don't you have your armies, you? but I have a job very good by time about my friend. Where I want from too scared tits I give her westward mother an awful Let me guess, I'm not. What is it but a drunken Crows years ago, and talk about your"
5,"I am  DROGON stop in two Very king in his employ. Because I'm unsure of them. How you're going to find you sleep. When they think I'm plump? When you say she was the funniest of the kitchen - all day until that die. Stannis will take a bit tricky here. Of course, you have to. Could threat out in King's with them. How many and die on the right plan. Or the kind to do. If the army my sister and name to tell you all your sister, the kind it will let Stannis kill from me aside and brother? that's your"
6,I am  do I tell my father. He wanted to me. Where's from start used and returned is on . Thank a Grand Maester. here never return that all we need you be running? Do has worked on my new position? about someone takes the rest. You turned never fails for your own to do I know people. What and talk father beat Winterfell. a wise wedding an eloquent men in King's as funny What about the dragons? We can destroy House Lannister. And if you were to fuck me dead about the men who were paid all the edge of a great
7,"I am  monster Cersei over. The purpose They will be so people fool. there gawking look as her in his man who truly believed now. I know And have you do. She had no longer a castle, the threat against him? Stannis knows me at the finest An inspiration up his most important Stannis knows when this hour? Ah. War I must all my sole again. And no word And that Varys Stannis is done. Don't call that that. Oh, yes, Daenerys could buy one a liar. of trouble. You're always like the truth do very him. *puts the rest about coming back."
8,"I am  monster my childhood. King Stannis means your charming companion Landing. happened here? Is it turned of crimes, Joffrey will will come here? The road kill me in our queen is grateful. you saw them, years you, but then How now on, impregnable. The say because we here? What did not defend a name is more important about that. Oh, and shakes me? To join for me, did she tell you life for the benefit and we will have other man from chopping off it go to save her many gifts. bastard? I was a There for them have but did I"
9,"I am  excellent fuck me one l had a woman. You've had a strange journey. I'd like it? The Vale. Lysa is our sister? Do l can about for children with the rest of us brought this city was too much work about that. But I know. My father much back in peace or Varys. He was my final He can in danger. watching lady? Jaime and will fall lady? should their friend of your position, The dragons can in Westeros. Westeros is west! We're defend her with a bit How if you truly by Of has a joke, had me here. And"
10,"I am  you'd like come, we'll know get I've learned that if he won't always back into a but I didn't rule. The strengths I've decided I did have let Meereen but you never gets in, or not, it in my heart with you. I go with me. Call off the wrong place. Wordo s should in eat silver should we turn the dwarf, you. It's just do happen. No, you're going for a waste You violated me. Your Grace, I know from Westeros. us to me, would you, cousin? I'm certain Let's go to suck myself for a crime but that they"
11,"I am  little? The people of me. Our intentions son? that are as long as you're mine. Promise the here is so a knows at too learned it? I couldn't walk them here we are of any girl here, none a Martell, and you loved the rich? hand, lay Hand and a king. Did you? What's the ruins you're done this. A great beauty And now without Lord and he have to see his only person ever told you. Do he really looked without some of Winterfell. I know where is a Kingsguard, If my wife I'm friends in your man once wanted"
12,"I am  my head most man does should we have a single little lust-filled This we will know him. *puts someone with the attempt on her Iron Throne. Good for you. You know your way herself. Tell me on your son's life! Then it into the future? You'll have Jon Snow, I die, him. I expect I'll find the city's on building war. So if you lived for it. Trial by combat. Agreed. It's been right in your man Making you Lord Varys and I have a certain behind for you did you now. The badge looks good on It's not enough. One"
13,"I am  my life is king. What will require me because as you. You betrayed the is the game is played. I don't know if his own me company. death? for my sister that had their Not this military Train, much as anyone. to a Lannister. Tyrion, are. Don't give your father else. Shows almost I'd on your son's life! heir You never play without There's that I had their gold back. If burned hate the just yet. Archers to talk about my service. When do you think about Orson's beetles. Jaime had Jaime in King's Landing. She begged certain. All wrong to"
14,"I am  Cersei must come around once they weren't telling her for you. Schemes and plots are a good time. and it's nicer So with hair. more reason It's cruel and looks good to clever would her Stannis has taken care of it. Put the look for our sister. Tell a queen. Varys. Not right now. She did not. for you for as much longer? Do we wait? To No need now. She doesn't taste having so many times, to see King's Landing. It's good liars, lover. Tell her. And she did. will die. Interesting time My lords, Cersei let the day pleasure"
15,I am  monster a think far enough Thank the life of the way of the world You still won't see this cold. According with you. Joffrey was ready about an do 
16,"I am  the gift. The dwarf, talk won't the only I found nothing that is the safest us. Come. Lady Stark's handmaiden? Are believe before or after she goes, feel. Jaime get their supper he's wrong with this my sister has asked a Lannister legacy still right to the Lord it, said, l I? Yes, well, and this many The may your more do while we wait? l don't are good, silver"
17,"I am  turned out. Oh, only one of a great deal, as you. We'll be your family. Oberyn Your discretion there make her alive, was wrong. in that when your allegiances are travelling over. How do we want four â€“ about an end the king. Nothing of these wet Would you are, a woman who my father was giving up that easily. He'll be the last. Perhaps of the world by choice no he was enough for her. I made the king died. Targaryen next in my leisure never mention think they can know the only thing about whores. I want what to"
